FIPS ,Name,2013,2014,2015,2016,2017,2018,2019,2020,2021,Median Household Income (2020),% of State Median HH Income
37173,"Swain County, NC",12.1,8.7,7.6,6.1,5.1,4.4,3.9,8.3,4.5,"$47,559 ",79.80%
37175,"Transylvania County, NC",7.2,5.7,5.4,4.9,4.3,3.8,3.6,6,4.1,"$56,880 ",95.40%
37177,"Tyrrell County, NC",12.6,9.7,9.4,8.5,7.7,6.3,5.9,9.1,7,"$42,260 ",70.90%
37179,"Union County, NC",6.4,5.1,4.8,4.4,4,3.5,3.5,5.8,3.9,"$90,920 ",152.50%
37181,"Vance County, NC",11.2,9.1,8.5,7.2,6.2,5.9,5.7,9.8,7.9,"$41,935 ",70.30%
37183,"Wake County, NC",5.8,4.8,4.7,4.3,3.9,3.5,3.4,6.2,4,"$88,763 ",148.90%
37185,"Warren County, NC",10.6,8.6,8.2,7.3,6.9,6.1,5.6,9.5,7.7,"$42,808 ",71.80%
37187,"Washington County, NC",12.1,9.4,8.6,7.4,6.6,6,5.7,7.9,6.9,"$38,704 ",64.90%
37189,"Watauga County, NC",6.2,5,4.8,4.5,4.1,3.6,3.4,6.1,3.7,"$54,004 ",90.60%
37191,"Wayne County, NC",7.5,6.2,6,5.8,5,4.4,4.1,6.2,5,"$52,906 ",88.70%
37193,"Wilkes County, NC",8.7,6.4,5.6,4.8,4.3,3.8,4,6.6,4.7,"$46,830 ",78.60%
37195,"Wilson County, NC",11.4,9.2,9.4,8.2,7.2,6.3,5.7,8.6,6.7,"$44,089 ",74.00%
37197,"Yadkin County, NC",7.5,5.5,4.9,4.4,3.9,3.4,3.4,6.9,4.2,"$53,154 ",89.20%
37199,"Yancey County, NC",9.3,6.6,5.8,5.2,4.6,3.7,3.7,6.4,4.3,"$48,662 ",81.60%
