FIPS ,Name,2013,2014,2015,2016,2017,2018,2019,2020,2021,Median Household Income (2020),% of State Median HH Income
13147,"Hart County, GA",9.1,7.5,6.3,5.4,4.5,3.7,3.6,5.4,3.9,"$52,401 ",83.40%
13149,"Heard County, GA",9.4,7.9,6.5,6,5,3.9,3.5,6.4,3.9,"$51,532 ",82.10%
13151,"Henry County, GA",8.4,7.3,6.3,5.6,4.9,4.2,3.7,7.3,4.2,"$69,620 ",110.90%
13153,"Houston County, GA",7.5,6.8,5.9,5.4,4.8,4.1,3.5,5.2,3.6,"$69,442 ",110.60%
13155,"Irwin County, GA",10.5,9.6,8.5,7.9,7.1,5.7,4.8,5.6,4.5,"$47,492 ",75.60%
13157,"Jackson County, GA",6.9,5.9,4.9,4.3,3.7,3.1,2.8,4.3,2.4,"$70,960 ",113.00%
13159,"Jasper County, GA",8.2,6.7,5.6,4.8,4.3,3.6,3.3,4.9,3.2,"$57,796 ",92.00%
13161,"Jeff Davis County, GA",9.9,8.2,6.8,6.4,6.1,4.9,4.7,5.1,4,"$44,417 ",70.70%
13163,"Jefferson County, GA",13.9,11.3,9.2,7.5,6.2,5.4,4.9,6.7,4.7,"$40,333 ",64.20%
13165,"Jenkins County, GA",12.3,10,8.5,7.7,6.8,5.4,5.3,6.3,4.7,"$38,306 ",61.00%
13167,"Johnson County, GA",9.8,8.6,7.1,6.2,5.1,4,3.8,4.9,3.5,"$36,358 ",57.90%
13169,"Jones County, GA",7.2,6.3,5.6,4.9,4.4,3.7,3.3,4.5,3.1,"$64,812 ",103.20%
13171,"Lamar County, GA",11.2,9.6,7.8,6.6,5.6,4.7,4.1,6.3,4.2,"$55,024 ",87.60%
13173,"Lanier County, GA",8.5,8.1,6.8,5.9,5.1,4.5,4.1,5.2,3.8,"$35,215 ",56.10%
13175,"Laurens County, GA",10.7,9.3,7.7,6.7,5.9,4.9,4.7,6.6,4.3,"$46,690 ",74.30%
13177,"Lee County, GA",6.8,6.3,5.4,4.8,4.2,3.6,3.1,4.5,3.1,"$74,640 ",118.90%
13179,"Liberty County, GA",8.4,7.7,6.4,5.9,5.2,4.3,3.9,6.2,4,"$49,788 ",79.30%
13181,"Lincoln County, GA",10,8.3,6.9,6,5.3,5,4,5.4,4,"$47,883 ",76.20%
13183,"Long County, GA",8.1,7.4,6,5.5,4.9,4,3.8,4.3,3,"$53,841 ",85.70%
13185,"Lowndes County, GA",8,7.3,6,5.3,4.7,4.1,3.7,6,4.1,"$48,864 ",77.80%
13187,"Lumpkin County, GA",7.3,6.4,5.5,4.9,4.2,3.6,3.3,4.8,2.8,"$63,822 ",101.60%
13189,"McDuffie County, GA",11.2,10,8.5,7.4,6.3,5.6,5.4,7.9,5.2,"$48,392 ",77.10%
13191,"McIntosh County, GA",8.9,7.9,6.6,5.9,5.1,4,3.8,5.6,3.7,"$48,097 ",76.60%
13193,"Macon County, GA",12.7,11.8,9.3,8.4,7,6.3,4.8,7.6,6.3,"$35,997 ",57.30%
13195,"Madison County, GA",7.5,6.7,5.6,5,4.3,3.6,3.2,5,3.1,"$50,619 ",80.60%
13197,"Marion County, GA",8.8,7.7,8.6,7.4,6.1,5.2,4.4,5,3.6,"$46,792 ",74.50%
13199,"Meriwether County, GA",10.7,9.8,8.2,7,6,5.1,4.7,8.6,5.3,"$45,095 ",71.80%
13201,"Miller County, GA",7.2,6.3,5.5,5.5,4.5,3.7,3.4,4,3,"$51,855 ",82.60%
13205,"Mitchell County, GA",8.5,7.9,6.8,6.7,6.3,5.5,4.7,6.5,5,"$38,256 ",60.90%
13207,"Monroe County, GA",8,6.7,5.9,5.2,4.5,3.7,3.4,5,3.1,"$65,599 ",104.50%
13209,"Montgomery County, GA",11.4,10.4,8.8,7.5,6.6,5.8,5.3,5.4,4.1,"$47,074 ",75.00%
13211,"Morgan County, GA",8,6.6,5.6,5.1,4.5,3.6,3.3,5.3,3.2,"$68,343 ",108.80%
13213,"Murray County, GA",11.2,9.4,7.5,7.2,6.2,5.4,5.3,7.5,4.3,"$58,761 ",93.60%
13215,"Muscogee County, GA",9.3,8.5,7.6,6.9,6,5.2,4.8,7.8,5.3,"$44,959 ",71.60%
13217,"Newton County, GA",9.6,8.2,6.9,6.1,5.4,4.5,4,7.1,4.4,"$62,183 ",99.00%
13219,"Oconee County, GA",5.6,5.1,4.5,4.1,3.6,3,2.7,3.7,2.2,"$104,519 ",166.40%
13221,"Oglethorpe County, GA",7.5,6.6,5.6,4.9,4.4,3.7,3.3,4.7,2.9,"$55,678 ",88.70%
13223,"Paulding County, GA",7.2,6.2,5.3,4.7,4.2,3.5,3.1,5.3,3,"$77,755 ",123.80%
13225,"Peach County, GA",10.6,9.5,8.1,7.1,5.9,5.2,4.3,6.2,4.7,"$51,531 ",82.10%
13227,"Pickens County, GA",7.9,6.7,5.4,4.9,4.3,3.6,3.2,4.7,2.8,"$69,781 ",111.10%
13229,"Pierce County, GA",8.5,7.5,6.3,5.4,4.6,3.8,3.6,4.5,3.1,"$51,696 ",82.30%
13231,"Pike County, GA",8.4,7,5.8,5.2,4.5,3.6,3.2,4.9,2.8,"$64,986 ",103.50%
13233,"Polk County, GA",8.8,7.8,6.7,6.2,5.3,4.3,3.8,5.9,3.6,"$51,040 ",81.30%
13235,"Pulaski County, GA",8.8,7.8,6.7,5.9,5.3,4.4,4,4.7,3.6,"$44,019 ",70.10%
13237,"Putnam County, GA",10.3,9.1,8.2,7.1,5.8,5,4.5,6.4,4,"$56,104 ",89.30%
13239,"Quitman County, GA",8.1,8.4,6.9,7.4,5.9,5.7,5.3,6.3,4.9,"$37,735 ",60.10%
13241,"Rabun County, GA",9.8,8.2,6.8,6,5,4,3.7,5.3,3.1,"$53,038 ",84.50%
13243,"Randolph County, GA",10.3,9.7,9.3,8.6,6.5,5.6,5,5.9,5.2,"$36,064 ",57.40%
13245,"Richmond County, GA",9.8,8.7,7.5,6.8,6,5.3,4.7,7.6,5.3,"$43,942 ",70.00%
13247,"Rockdale County, GA",9.1,7.9,6.6,5.9,5.3,4.5,4,7.6,4.6,"$61,332 ",97.70%
13249,"Schley County, GA",9.2,7.6,6.8,6.4,5.5,4.7,4,4.3,3.7,"$53,163 ",84.70%
13251,"Screven County, GA",12.5,10,8.5,7.6,6.3,5.5,5.6,8.1,5.6,"$44,061 ",70.20%
13253,"Seminole County, GA",10.2,9.5,8.2,8,6.5,5.4,4.4,5,3.7,"$41,778 ",66.50%
