FIPS ,Name,2013,2014,2015,2016,2017,2018,2019,2020,2021,Median Household Income (2020),% of State Median HH Income
51161,"Roanoke County, VA",4.9,4.5,3.9,3.5,3.4,2.7,2.5,5.1,3.1,"$71,613 ",90.50%
51163,"Rockbridge County, VA",5.7,5.2,4.6,4.3,4.1,3,2.7,5.5,3.7,"$55,684 ",70.30%
51165,"Rockingham County, VA",5,4.6,4.1,3.5,3.2,2.6,2.3,4.7,2.9,"$62,609 ",79.10%
51167,"Russell County, VA",8.3,7.7,6.5,6.4,5.2,4.2,4.1,6.6,4.3,"$43,206 ",54.60%
51169,"Scott County, VA",6.8,5.7,5.1,4.8,4,3.2,3.1,5.3,3.6,"$44,937 ",56.80%
51171,"Shenandoah County, VA",5.5,4.9,4.2,3.7,3.3,2.8,2.5,5.3,3.6,"$54,294 ",68.60%
51173,"Smyth County, VA",8.9,7.8,6.4,5.7,4.9,3.9,3.7,6.4,4,"$43,351 ",54.80%
51175,"Southampton County, VA",5.5,4.8,4,3.9,3.6,2.8,2.6,4.9,3.5,"$60,441 ",76.40%
51177,"Spotsylvania County, VA",5.7,5.3,4.6,4,3.7,3,2.9,5.9,3.8,"$94,299 ",119.10%
51179,"Stafford County, VA",5.5,5.2,4.4,3.9,3.6,2.9,2.7,5.6,3.6,"$110,120 ",139.10%
51181,"Surry County, VA",7.1,6.1,5,5.2,4.3,3.4,3.4,5.7,3.8,"$57,872 ",73.10%
51183,"Sussex County, VA",9.1,7.7,6.8,6.2,5.9,4.9,4.5,8.6,6.5,"$48,040 ",60.70%
51185,"Tazewell County, VA",8.4,8,7.3,7.4,5.6,4.4,4.3,7.6,5.2,"$45,214 ",57.10%
51187,"Warren County, VA",6,5.5,4.7,4,3.7,3,2.8,5.8,3.5,"$63,797 ",80.60%
51191,"Washington County, VA",6.2,5.7,4.7,4.4,4.1,3.3,3.3,5.8,3.6,"$53,785 ",67.90%
51193,"Westmoreland County, VA",6.7,6.3,5.3,4.5,4.4,3.6,3.5,5.8,4.4,"$59,343 ",75.00%
51195,"Wise County, VA",10.1,9.3,8.2,8.3,6.3,4.9,4.6,7.5,5.2,"$41,723 ",52.70%
51197,"Wythe County, VA",7.6,6.3,5.4,5.6,5,3.7,3.5,7.7,4,"$54,399 ",68.70%
51199,"York County, VA",5.3,4.9,4.2,3.8,3.5,2.8,2.6,5.5,3.3,"$91,711 ",115.90%
51510,"Alexandria city, VA",4,3.8,3.2,2.9,2.8,2.2,2.1,6,3.8,"$99,763 ",126.00%
51520,"Bristol city, VA",6.8,6.3,5.3,5,4.5,3.7,3.7,7.5,4.7,"$41,444 ",52.40%
51530,"Buena Vista city, VA",6.6,5.7,5,5,4.2,3.1,2.7,5.6,3.9,"$48,837 ",61.70%
51540,"Charlottesville city, VA",4.6,4.2,3.6,3.3,3.1,2.5,2.3,6.5,3.7,"$70,501 ",89.10%
51550,"Chesapeake city, VA",5.8,5.2,4.5,4.2,3.7,3,2.8,6.1,3.8,"$80,402 ",101.60%
51570,"Colonial Heights city, VA",6.3,5.7,4.7,4.4,4,3.3,3.2,7.1,4.8,"$67,339 ",85.10%
51580,"Covington city, VA",8.2,7.9,5.9,5.8,6,4.6,4.1,9.6,5.8,"$40,683 ",51.40%
51590,"Danville city, VA",9.6,8.5,7.1,6,5.6,5,4.9,9.7,6.5,"$36,560 ",46.20%
51595,"Emporia city, VA",9.6,8,6.8,6.3,5.2,4.7,4.9,11,7.8,"$42,895 ",54.20%
51600,"Fairfax city, VA",4.1,4,3.5,3,2.8,2.3,2.1,5.8,3.4,"$102,828 ",129.90%
51610,"Falls Church city, VA",3.8,3.5,3,2.7,2.6,2.1,2.1,3.8,2.6,"$160,305 ",202.50%
51620,"Franklin city, VA",9.1,7.7,6.6,6,5.2,4.3,3.9,8.3,6.9,"$47,223 ",59.70%
51630,"Fredericksburg city, VA",6.3,6,5.3,4.7,4.3,3.4,3.3,7.1,4.7,"$72,437 ",91.50%
51640,"Galax city, VA",8.4,7.2,5.4,4.9,4.1,3.4,3.2,7.7,4.1,"$40,271 ",50.90%
51650,"Hampton city, VA",7.3,6.6,5.9,5.6,5,4,3.7,8.5,5.7,"$53,719 ",67.90%
51660,"Harrisonburg city, VA",6.6,6,5.2,4.7,4.4,3.5,3.2,6.4,4,"$52,159 ",65.90%
51670,"Hopewell city, VA",9.5,8.8,7.5,6.4,6.1,4.8,4.3,10.8,7.5,"$41,792 ",52.80%
51678,"Lexington city, VA",8.3,7.6,6.7,6,6,4.7,4.6,6.9,4.9,"$63,580 ",80.30%
51680,"Lynchburg city, VA",6.9,6.3,5.5,5.1,4.9,4,3.7,7.2,5.1,"$56,089 ",70.90%
51683,"Manassas city, VA",5.3,4.9,4.1,3.6,3.3,2.7,2.5,6.5,3.9,"$87,804 ",110.90%
51685,"Manassas Park city, VA",5,4.7,4.1,3.6,3.3,2.7,2.5,6.6,3.8,"$82,255 ",103.90%
51690,"Martinsville city, VA",11,9.7,8.7,7,6.2,4.5,4,10.9,7.5,"$35,715 ",45.10%
51700,"Newport News city, VA",6.6,6.1,5.4,5,4.6,3.6,3.4,8.6,5.6,"$60,048 ",75.90%
51710,"Norfolk city, VA",6.8,6.2,5.5,5.2,4.6,3.6,3.4,8.7,5.7,"$51,401 ",64.90%
51720,"Norton city, VA",8.1,7.6,6.8,6.7,5.2,3.9,3.6,7.3,4.9,"$36,004 ",45.50%
51730,"Petersburg city, VA",11.4,10.5,9.1,7.7,7.2,6.1,5.6,14.2,10.5,"$43,190 ",54.60%
51735,"Poquoson city, VA",4.9,4.5,3.8,3.4,3.4,2.6,2.4,4.2,2.8,"$99,310 ",125.50%
51740,"Portsmouth city, VA",7.9,7.1,6.1,6,5.3,4,3.9,9.4,6.7,"$52,070 ",65.80%
51750,"Radford city, VA",7.4,6.6,5.6,5.3,4.9,3.7,3.5,6.3,4.1,"$42,938 ",54.20%
51760,"Richmond city, VA",6.6,6,5.1,4.6,4.3,3.5,3.3,8.8,5.5,"$54,815 ",69.30%
51770,"Roanoke city, VA",6.5,5.8,4.8,4.2,4.1,3.2,3,7.7,4.8,"$49,313 ",62.30%
51775,"Salem city, VA",5.7,5.1,4.4,3.9,3.7,2.9,2.8,5.8,3.6,"$70,349 ",88.90%
51790,"Staunton city, VA",5.7,5.1,4.3,3.8,3.5,2.8,2.7,6.3,3.8,"$51,230 ",64.70%
51800,"Suffolk city, VA",6.2,5.7,4.9,4.6,4,3.2,3,6.4,4.4,"$72,264 ",91.30%
51810,"Virginia Beach city, VA",5.3,4.8,4.2,3.9,3.5,2.8,2.7,6.2,3.7,"$73,961 ",93.40%
51820,"Waynesboro city, VA",5.9,5.2,4.7,4.1,4,3.2,2.9,6.6,4.1,"$53,635 ",67.80%
51830,"Williamsburg city, VA",7.5,7.2,6.3,5.4,5.1,4,3.8,8.1,4.9,"$60,655 ",76.60%
51840,"Winchester city, VA",5.7,5,4.3,3.9,3.6,2.9,2.8,5.9,3.5,"$58,295 ",73.60%
